,thetaE,x,y
0,34.36027478630302,991286.4845362244,6020753.060576632
1,39.42151926725779,994696.5344976947,5854288.154020127
2,31.132848101545505,841652.3834847771,5859503.006876085
3,31.554920995659415,770822.2405218146,5832849.235317758
4,29.012261374864067,959775.0536383908,5923655.902519462
5,36.05908392337233,1064971.638479562,6021381.618647161
6,34.43704653857043,1049957.0882003468,5878665.339548966
7,32.05003993151058,955179.6737389537,5882027.480621908
8,32.36578548346813,1077464.8022923095,5908286.087492258
9,35.65611151580606,1057819.3611960942,5944780.443905249
10,31.99660285229652,844197.5923222746,6030841.528903422
11,29.57832036269417,830888.3453225215,5940563.062094295
12,31.144521465749733,916523.3126440446,6033507.427470993
13,36.293555494924135,999448.3182816963,5834366.466048723
14,34.82351521464574,1031585.6986762607,6025521.754972859
15,31.665324208183847,706029.6214615161,5864866.565840905
16,32.37895471066594,870876.7554442628,5847971.461602274
17,32.102604551775016,822006.0518326354,5880837.844676935
18,35.15416807721596,763318.4162864216,5843625.118819264
19,31.722612363227483,899401.4844041128,6005035.178174894
20,35.09472280189573,1142939.4758726985,5884872.951734083
21,30.05706043829889,732071.0352207497,5916097.7280528145
22,36.44397203010902,957699.5017325502,5831856.913202285
23,30.601655140937908,942279.6371873567,5972860.164752853
24,31.159132052904113,785284.5348072044,5963603.311968381
25,32.46294706830628,776879.2453353674,5950103.400802917
26,36.01420759864982,1060939.6465230295,5920945.161948571
27,31.119675068161598,794782.2024421956,5857567.908398584
28,38.33474729546725,978676.1012996715,5812526.810654102
29,31.75023654197929,798240.2311041978,5759363.90632021
30,32.87002424052508,1021951.2193870842,5916402.5465509035
31,33.53662848486124,785816.6419731962,5949848.048072741
32,32.97845822497794,1095772.517067662,5911596.992604918
33,31.578693139403413,818149.3880741025,5999671.586707385
34,33.99301415567004,985563.4381950514,5894302.354322956
35,33.291149732422184,1013952.3573761337,5986804.640875225
36,35.3774607232146,900878.3600884671,5848966.084775124
37,34.09861044975844,891086.2524003277,5971409.641427405
38,30.13703466022224,974775.9116202383,5963807.851037175
39,35.46155409307181,1021395.2898500627,5929636.511549158
40,28.947219367271487,936247.0113422879,5913005.389365205
41,31.067208993899442,782213.8979731627,5809716.19569987
42,34.8780370475547,835858.7605864413,5798335.090524447
43,32.050632971492405,772682.8344909335,6011527.76681744
44,32.75607144412072,791894.3522120365,5904839.744708012
45,32.55927187849517,681526.6430650455,5820265.846781348
46,35.912548603234086,911728.2255781244,5917540.379938606
47,32.411922942093156,1009322.6910735322,5947720.7262376165
48,35.32834039347114,866704.8348878034,5777726.784847079
49,31.056492737095994,825446.0467371292,5971355.104111863
50,29.86254607014058,927653.8145699919,5872440.901600047
51,37.2630148784483,1020101.5347280634,5821305.486303356
52,34.36701017479294,872387.3609343275,5811702.573297585
53,33.54540959495205,956831.543662835,5892054.777223309
54,31.12345767087487,887627.8897798529,6001544.924636177
55,34.13429136225511,959076.5238336631,5885532.48696449
56,33.27517038216649,1032978.9734230291,6040846.854153421
57,35.713691770482285,942928.6298186814,6056639.136674624
58,33.93795466749202,995376.2513084785,6002813.108360686
59,35.81351639813852,1025848.403440266,5905431.7038580375
60,31.858140807574102,876099.8659522833,5888736.9739780305
61,32.71403137675463,888896.9319748963,5868529.336673357
62,27.222706447362043,846639.4966723158,5961494.549008775
63,31.397561280740263,735535.8543716904,5938831.548724377
64,32.38532373273074,756109.47738214,5955623.168681999
65,27.7660453456391,678992.9001350998,5848682.495097888
66,33.82058392361046,869009.1483472241,5932224.897664806
67,31.028936128083274,781214.4715848208,5868309.857549094
68,30.483588898899427,911513.9355583474,6040113.043534883
69,31.460983453100084,809142.7507130002,5796246.077479216
70,29.48055906925339,702696.2706292022,5888399.373872158
71,31.915580198968712,801921.2327062591,5832866.6454744
72,36.92449084995792,978218.4668730203,5807990.196173467
73,36.257582237170425,997435.6618881541,5780963.482470462
74,30.416163557209302,924058.7516148229,5948020.280808001
75,31.456945910713102,934774.4771180742,6021095.665185001
76,35.720521409625974,994484.693506715,5806029.563433685
77,30.486642071716005,731144.5230988773,5899247.364996891
78,33.660201970545415,993497.734901342,5846313.844505285
79,30.26777318997597,909397.9746773489,5898466.285661807
80,31.993399991235037,804313.5998828975,5791737.377937007
81,34.110566193207944,830528.1154503146,5828357.596050068
82,37.48989902634878,1003865.2530373918,5768753.370272796
83,34.675612238952795,869914.5097658457,5773401.548905946
84,33.39170963412414,916473.2188731876,5981965.038634792
85,32.54487845498437,848701.9128782427,5804090.575161999
86,30.939090542893382,876965.0410347285,6035976.47545477
87,33.85968508071147,810201.5103899352,5937708.394644459
88,34.24691592239867,1142293.8228260975,5912281.479592254
89,30.91222713001474,883882.6568316042,5942831.79789813
90,34.667604719212534,774016.2193516552,5942073.09307845
91,28.742038966229018,693259.7173946565,5844852.345367947
92,32.043175825719516,1070081.5370654454,6003764.203530628
93,33.15854349360524,763455.6732185697,5872534.012921302
94,34.32181316469649,1115373.0964090878,5846161.274160723
95,30.52658110246125,772825.3234391488,5911372.8542772615
96,30.54245857326265,918644.2829021289,5938626.12667845
97,34.518674718308546,967156.0924754387,5863229.541682879
98,34.97320724529243,1093311.1318067322,5847596.508625408
99,32.715884923599106,1060823.9855720953,5873330.276485275
100,29.346603262398162,808875.249976624,5900988.111773115
101,37.79191006077616,1120204.0283510431,5836162.942976918
102,33.209342682519264,742218.3634040107,5862825.630740744
103,33.00354361016758,947706.1284050565,5851637.540904225
104,30.10173692263288,877126.4542963788,6013295.38296964
105,36.08199870601652,1022429.8931974954,5854945.396932626
106,34.92353015575685,1004537.1774838201,6049027.822753988
107,33.9399942552285,1099770.6678989932,5865084.988203314
108,29.691606209736335,961462.7684383076,5955315.832812752
109,33.293614439233124,959581.135085429,6055403.385246647
110,32.07668071098777,891940.9634506386,5933433.280418302
111,34.9274274606949,1144720.9216838633,5908395.840042738
112,32.85758386711427,1086737.0479584443,5849903.319973316
113,32.91271896736936,896827.2211795184,5811946.861192933
114,37.036730525349526,814333.5785686907,5815271.230832
115,34.4073646116488,1046231.8927604407,6011797.937626195
116,35.27857642434702,1160650.7408163808,5877382.995500999
117,36.033178794835464,994351.1101177633,5755290.334791889
118,31.79106003510543,1040097.854859259,5982884.332605502
119,31.175085517624325,844383.0505939362,5901329.771510473
120,30.360292332715574,937957.3239988356,5904694.930483303
121,31.671865473945047,924858.6934756634,5861625.16879472
122,36.4762871091134,1059484.8120978524,5962901.53405976
123,32.20312607697247,1063594.6163784491,5902180.485816954
124,33.80734600656882,1071761.7934594792,5837102.365118373
125,34.107232615217924,873067.9683010377,5829018.708177706
126,29.938387630609157,1091642.786598213,5914910.778520353
127,28.470941164530075,866890.6271179373,5983799.459624761
128,30.559672286088244,965990.3547678515,5978210.816377566
129,31.431496600963897,915819.2168647771,6030084.328780959
130,32.59558539310109,862992.8864673018,5785039.556563531
131,31.03729705516247,948207.0661136262,6012162.072762202
132,30.211485329517643,953533.0358311395,6003973.800407989
133,31.310033963301066,950212.3754207761,6020708.588857661
